COUNTRY_NAME,YEAR,SUM(F.GNI*F.POPULATION_COUNT)
Greece,2014,303000000000
Greece,2016,304000000000
Greece,2020,285000000000
Greece,2021,309000000000
Portugal,2017,332000000000
Portugal,2018,341000000000
Spain,2020,1730000000000
Netherlands,2001,778000000000
Netherlands,2007,873000000000
Norway,2014,353000000000
Netherlands,2015,898000000000
Netherlands,2019,989000000000
Luxembourg,2018,49500000000
Poland,1994,442000000000
NewZealand,1993,82900000000
Poland,1997,534000000000
Poland,1999,585000000000
Mexico,1994,1420000000000
Mexico,1996,1400000000000
Poland,2004,676000000000
Poland,2007,796000000000
NewZealand,2008,140000000000
Poland,2012,950000000000
Poland,2013,961000000000
Poland,2016,1060000000000
Mexico,2004,1810000000000
NewZealand,2016,186000000000
Poland,2019,1220000000000
Poland,2020,1200000000000
Mexico,2012,2130000000000
Mexico,2013,2140000000000
NewZealand,2020,214000000000
Spain,1999,1320000000000
Netherlands,1996,641000000000
Norway,2004,267000000000
Portugal,2008,318000000000
Brazil,1991,1550000000000
Sweden,1990,303000000000
UnitedStates,1994,10900000000000
Brazil,1994,1680000000000
Sweden,1995,311000000000
Sweden,1997,324000000000
UnitedStates,1999,13600000000000
Sweden,2005,415000000000
Turkey,2010,1460000000000
Brazil,2014,3120000000000
Turkey,2017,2210000000000
UnitedStates,2017,19900000000000
Sweden,2015,505000000000
Sweden,2016,514000000000
Sweden,2019,557000000000
Turkey,2021,2610000000000
UnitedKingdom,1993,1830000000000
Switzerland,1993,394000000000
Switzerland,1995,400000000000
UnitedKingdom,2001,2290000000000
Argentina,1994,614000000000
Argentina,1995,594000000000
Switzerland,1998,430000000000
Switzerland,2002,455000000000
UnitedKingdom,2002,2370000000000
Argentina,2000,669000000000
Bulgaria,2006,121000000000
Bulgaria,2011,136000000000
UnitedKingdom,2012,2660000000000
UnitedKingdom,2013,2690000000000
Argentina,2011,988000000000
Bulgaria,2013,137000000000
Bulgaria,2014,141000000000
UnitedKingdom,2016,2940000000000
UnitedKingdom,2019,3160000000000
Argentina,2016,989000000000
Estonia,1994,14500000000
Estonia,1995,15400000000
Estonia,1997,17600000000
Indonesia,2004,1370000000000
Estonia,2006,33600000000
Indonesia,2011,2070000000000
Colombia,1990,271000000000
Estonia,2012,35900000000
Croatia,2000,82100000000
Croatia,2001,82900000000
Croatia,2006,105000000000
Chile,1999,222000000000
Croatia,2009,103000000000
Croatia,2010,102000000000
Croatia,2012,99300000000
Chile,2002,248000000000
Chile,2003,252000000000
Chile,2005,277000000000
Colombia,2007,476000000000
Chile,2016,432000000000
India,1998,2400000000000
Cyprus,1999,20300000000
Cyprus,2000,20900000000
India,2015,7150000000000
China,1991,1850000000000
India,2020,8530000000000
China,2000,4320000000000
China,2002,5110000000000
CostaRica,2002,50200000000
CostaRica,2004,55000000000
Cyprus,2013,28500000000
CostaRica,2010,74000000000
CostaRica,2011,77200000000
CostaRica,2014,85500000000
China,2010,11900000000000
China,2014,16400000000000
CostaRica,2018,97900000000
Indonesia,1992,891000000000
Estonia,1991,20300000000
RussianFederation,2006,3000000000000
RussianFederation,2010,3300000000000
Singapore,2018,346000000000
Malta,2010,13000000000
Malta,2012,13600000000
Malta,2013,14300000000
RussianFederation,2018,3810000000000
Latvia,2015,51300000000
Malta,2016,16700000000
Malta,2021,20100000000
Indonesia,2017,2770000000000
Indonesia,2019,3060000000000
SaudiArabia,1991,789000000000
Lithuania,1995,32900000000
Israel,1993,121000000000
Lithuania,1999,42300000000
Lithuania,2002,51600000000
SaudiArabia,2003,930000000000
Israel,1999,167000000000
Israel,2002,180000000000
Romania,2007,392000000000
SaudiArabia,2017,1570000000000
SaudiArabia,2020,1580000000000
SaudiArabia,2021,1570000000000
Romania,2021,574000000000
Singapore,1994,142000000000
Latvia,1998,26900000000
RussianFederation,2002,2310000000000
Singapore,2011,299000000000
Latvia,2005,42600000000
Slovenia,1998,48600000000
Slovenia,2001,54500000000
Slovenia,2005,62000000000
SouthAfrica,1992,425000000000
SouthAfrica,2008,667000000000
SouthAfrica,2015,756000000000
Austria,2020,460000000000
Austria,2021,480000000000
Germany,1990,2910000000000
Finland,1990,173000000000
Finland,1992,154000000000
Belgium,1995,410000000000
Australia,1990,496000000000
Australia,1991,499000000000
Australia,1994,560000000000
Belgium,2003,478000000000
Czechia,2006,312000000000
Finland,2020,265000000000
Australia,2000,710000000000
Australia,2006,852000000000
Belgium,2013,543000000000
Australia,2011,988000000000
Belgium,2020,568000000000
Australia,2020,1210000000000
France,1992,2020000000000
France,2000,2440000000000
France,2002,2510000000000
Austria,1990,299000000000
Denmark,2005,276000000000
France,2014,2890000000000
France,2020,2910000000000
Canada,2004,1350000000000
Canada,2005,1410000000000
Denmark,2009,274000000000
Denmark,2010,285000000000
Denmark,2011,288000000000
Austria,2003,394000000000
Canada,2012,1600000000000
Japan,1991,4550000000000
Hungary,2000,189000000000
Japan,2002,4890000000000
Japan,2004,5050000000000
Hungary,2004,229000000000
Ireland,2005,193000000000
Japan,2011,4970000000000
Germany,2007,3900000000000
Hungary,2012,234000000000
Ireland,2014,216000000000
Ireland,2018,311000000000
Japan,2020,5230000000000
Germany,2011,4020000000000
Germany,2017,4490000000000
Germany,2021,4540000000000
SouthKorea,1990,542000000000
Italy,1992,2090000000000
Italy,1996,2230000000000
Iceland,2002,11500000000
Iceland,2005,12900000000
Italy,2000,2440000000000
Italy,2005,2570000000000
SouthKorea,2006,1450000000000
SouthKorea,2007,1530000000000
Greece,2002,329000000000
Iceland,2011,12500000000
Italy,2008,2580000000000
SouthKorea,2017,2110000000000
Greece,2008,392000000000
Iceland,2018,19900000000
Italy,2016,2470000000000
Greece,2017,306000000000
Netherlands,2012,880000000000
Norway,2017,350000000000
Norway,2021,350000000000
Luxembourg,2010,38400000000
Luxembourg,2011,39900000000
Luxembourg,2013,44000000000
Netherlands,2016,904000000000
Luxembourg,2016,45000000000
Poland,1995,470000000000
Poland,2002,640000000000
Slovakia,2015,153000000000
Mexico,1993,1350000000000
NewZealand,2001,113000000000
Mexico,1998,1590000000000
Mexico,2002,1720000000000
Mexico,2003,1740000000000
NewZealand,2005,133000000000
NewZealand,2010,148000000000
NewZealand,2011,154000000000
NewZealand,2014,171000000000
Mexico,2017,2380000000000
NewZealand,2021,225000000000
Spain,1992,1080000000000
Spain,1993,1070000000000
Spain,1997,1200000000000
Norway,1991,156000000000
Portugal,1993,235000000000
Spain,2005,1650000000000
Portugal,1999,291000000000
Portugal,2005,313000000000
Spain,2015,1740000000000
Netherlands,1998,694000000000
Netherlands,1999,737000000000
Norway,2005,294000000000
Portugal,2007,322000000000
Portugal,2010,319000000000
Turkey,1992,766000000000
UnitedStates,1991,9870000000000
UnitedStates,1993,10400000000000
Brazil,1995,1790000000000
Turkey,1999,957000000000
Turkey,2005,1250000000000
UnitedStates,1998,13000000000000
UnitedStates,2003,15000000000000
Brazil,2002,2040000000000
Turkey,2007,1390000000000
Turkey,2008,1400000000000
UnitedStates,2004,15500000000000
Brazil,2011,2930000000000
Sweden,2010,463000000000
Sweden,2013,476000000000
UnitedStates,2012,17700000000000
UnitedStates,2014,18600000000000
Brazil,2016,2900000000000
Brazil,2019,3020000000000
UnitedStates,2020,20400000000000
UnitedKingdom,1992,1790000000000
UnitedKingdom,1994,1930000000000
Argentina,1991,489000000000
Bulgaria,1996,99600000000
Switzerland,1991,395000000000
Switzerland,1994,395000000000
UnitedKingdom,2000,2220000000000
Switzerland,2003,475000000000
UnitedKingdom,2008,2620000000000
Argentina,2003,609000000000
UnitedKingdom,2010,2620000000000
Argentina,2009,843000000000
Bulgaria,2018,152000000000
Argentina,2014,985000000000
Estonia,1998,18400000000
Estonia,2005,30400000000
Croatia,1995,72700000000
Estonia,2009,31700000000
Estonia,2011,34400000000
Croatia,2004,96600000000
Estonia,2017,43500000000
Estonia,2019,47600000000
Chile,1997,214000000000
Colombia,2003,379000000000
Colombia,2005,421000000000
Colombia,2010,516000000000
Croatia,2017,110000000000
Croatia,2020,110000000000
Colombia,2015,670000000000
India,1992,1660000000000
India,1994,1860000000000
India,1999,2610000000000
India,2000,2710000000000
Cyprus,1991,14700000000
Cyprus,1996,18000000000
India,2011,5480000000000
India,2013,6140000000000
Cyprus,2005,26400000000
India,2018,8830000000000
India,2019,9200000000000
China,1999,3980000000000
CostaRica,2007,67800000000
China,2006,7840000000000
CostaRica,2012,81200000000
Cyprus,2021,34400000000
CostaRica,2017,95400000000
CostaRica,2021,103000000000
Indonesia,1994,1050000000000
RussianFederation,2007,3280000000000
Latvia,2007,53400000000
Latvia,2008,52300000000
Latvia,2009,48600000000
Latvia,2016,53700000000
Latvia,2017,55600000000
Malta,2019,20500000000
Indonesia,2015,2510000000000
Romania,1995,274000000000
Romania,2001,285000000000
Israel,1995,137000000000
Israel,1997,153000000000
Lithuania,2007,78700000000
Lithuania,2010,72200000000
Romania,2006,374000000000
Romania,2009,423000000000
SaudiArabia,2014,1500000000000
Israel,2009,232000000000
Lithuania,2011,74300000000
Israel,2012,263000000000
Israel,2016,324000000000
Lithuania,2019,99800000000
Romania,2017,524000000000
Israel,2019,368000000000
Singapore,1990,104000000000
Singapore,1995,151000000000
Malta,1992,7448792799
Malta,1998,9374733536
RussianFederation,1991,3010000000000
Malta,2004,11300000000
Malta,2006,11600000000
RussianFederation,1999,1870000000000
Singapore,2009,252000000000
Singapore,2010,294000000000
Singapore,2012,305000000000
Latvia,2000,28800000000
Latvia,2001,31000000000
Slovenia,1997,46900000000
Slovenia,2002,56600000000
Slovenia,2003,58300000000
Slovenia,2004,60200000000
Slovenia,2017,74100000000
SouthAfrica,2007,645000000000
SouthAfrica,2018,778000000000
Austria,2017,472000000000
Finland,1999,208000000000
Czechia,1991,205000000000
Czechia,1994,212000000000
Finland,2009,241000000000
Czechia,1998,240000000000
Belgium,2000,463000000000
Belgium,2001,465000000000
Australia,2003,793000000000
Belgium,2006,509000000000
Czechia,2018,400000000000
Australia,2010,944000000000
Belgium,2012,538000000000
France,1995,2100000000000
Denmark,1994,205000000000
Denmark,1995,212000000000
France,2010,2770000000000
Austria,1992,317000000000
Canada,1993,897000000000
Canada,1997,1030000000000
Austria,1997,344000000000
Canada,2000,1200000000000
Canada,2003,1290000000000
Canada,2006,1460000000000
Denmark,2013,296000000000
Austria,2000,377000000000
Austria,2005,412000000000
Canada,2010,1510000000000
Denmark,2015,311000000000
Austria,2007,442000000000
Austria,2010,439000000000
Austria,2013,446000000000
Austria,2014,450000000000
Canada,2016,1670000000000
Luxembourg,1995,27800000000
Luxembourg,1996,28700000000
Ireland,1994,94500000000
Ireland,1995,102000000000
Japan,1994,4530000000000
Hungary,1995,169000000000
Germany,1994,3160000000000
Hungary,2003,219000000000
Hungary,2008,244000000000
Japan,2009,4850000000000
Germany,2002,3540000000000
Hungary,2011,237000000000
Japan,2019,5470000000000
Germany,2012,4030000000000
Germany,2013,4060000000000
Germany,2019,4620000000000
SouthKorea,1994,743000000000
Iceland,1999,10200000000
SouthKorea,2008,1580000000000
Italy,2011,2520000000000
SouthKorea,2012,1830000000000
Greece,2009,379000000000
SouthKorea,2021,2300000000000
Greece,2013,298000000000
Greece,2019,312000000000
Iceland,2021,20800000000
Spain,2019,1920000000000
Netherlands,2003,791000000000
Netherlands,2004,801000000000
Norway,2008,335000000000
Norway,2010,318000000000
Norway,2012,343000000000
Luxembourg,2009,33700000000
Netherlands,2017,951000000000
Slovakia,1999,90100000000
Slovakia,2000,92900000000
Poland,1991,386000000000
Slovakia,2003,100000000000
Slovakia,2006,123000000000
NewZealand,1991,76700000000
Slovakia,2012,143000000000
Poland,2003,658000000000
Slovakia,2021,167000000000
Mexico,1997,1510000000000
NewZealand,2017,196000000000
NewZealand,2019,211000000000
Spain,1991,1070000000000
Spain,1996,1150000000000
Spain,2002,1490000000000
Spain,2003,1550000000000
Portugal,1994,236000000000
Spain,2011,1690000000000
Netherlands,1990,543000000000
Netherlands,1991,558000000000
Norway,1992,160000000000
Norway,1995,180000000000
Portugal,2000,295000000000
Norway,2003,250000000000
Portugal,2006,313000000000
Portugal,2012,301000000000
Brazil,1990,1530000000000
Brazil,1998,1840000000000
Brazil,2000,1960000000000
Sweden,1999,356000000000
Turkey,2002,996000000000
Turkey,2003,1050000000000
UnitedStates,2001,14400000000000
Brazil,2007,2510000000000
Sweden,2003,392000000000
Turkey,2009,1340000000000
UnitedStates,2005,16000000000000
Brazil,2009,2630000000000
Brazil,2010,2810000000000
Brazil,2013,3120000000000
Sweden,2011,473000000000
UnitedStates,2013,18000000000000
Brazil,2021,3070000000000
Switzerland,1990,397000000000
Argentina,1993,581000000000
Bulgaria,1997,85900000000
Bulgaria,2001,91200000000
Switzerland,2000,460000000000
UnitedKingdom,2006,2620000000000
Bulgaria,2005,116000000000
Bulgaria,2009,131000000000
Switzerland,2009,517000000000
Switzerland,2010,557000000000
Bulgaria,2015,142000000000
Bulgaria,2017,149000000000
Bulgaria,2019,159000000000
Switzerland,2019,587000000000
Switzerland,2020,562000000000
Switzerland,2021,583000000000
Estonia,1996,16100000000
Indonesia,2005,1440000000000
Estonia,2013,37400000000
Chile,1992,152000000000
Colombia,1992,290000000000
Colombia,1997,362000000000
Estonia,2018,45700000000
Chile,1993,163000000000
Chile,1995,185000000000
Colombia,2000,357000000000
Colombia,2001,361000000000
Croatia,2011,102000000000
Croatia,2019,117000000000
Chile,2012,385000000000
Colombia,2017,686000000000
Chile,2019,460000000000
Colombia,2021,742000000000
India,1990,1560000000000
India,1991,1570000000000
India,1996,2160000000000
India,2008,4460000000000
CostaRica,1990,28800000000
CostaRica,1993,34900000000
Cyprus,2002,23400000000
China,1990,1690000000000
Cyprus,2007,28700000000
China,1996,3160000000000
China,1997,3450000000000
China,2001,4670000000000
CostaRica,2003,52400000000
Cyprus,2012,30600000000
Cyprus,2017,31900000000
China,2009,10800000000000
China,2015,17500000000000
China,2020,23100000000000
RussianFederation,2009,3150000000000
Singapore,2017,349000000000
Malta,2007,12000000000
Malta,2011,13400000000
RussianFederation,2015,3630000000000
Singapore,2021,362000000000
Latvia,2020,59100000000
Malta,2015,16800000000
RussianFederation,2020,3780000000000
Lithuania,1991,53800000000
SaudiArabia,1996,821000000000
Israel,1994,129000000000
Lithuania,2001,48000000000
Israel,1998,161000000000
Romania,2003,303000000000
Israel,2005,200000000000
Israel,2007,224000000000
Lithuania,2016,88300000000
Romania,2010,406000000000
Romania,2012,420000000000
Romania,2018,545000000000
Romania,2020,546000000000
Latvia,1990,46700000000
RussianFederation,1992,2550000000000
RussianFederation,1993,2330000000000
RussianFederation,1996,1880000000000
Latvia,1995,23000000000
Latvia,2003,35500000000
Latvia,2006,47100000000
Slovenia,1996,44700000000
Slovenia,2008,71100000000
Slovenia,2013,64400000000
Slovenia,2015,67500000000
Slovenia,2021,83700000000
SouthAfrica,1996,469000000000
SouthAfrica,1999,488000000000
SouthAfrica,2000,507000000000
SouthAfrica,2004,559000000000
SouthAfrica,2005,588000000000
SouthAfrica,2016,759000000000
Austria,2016,469000000000
Austria,2018,482000000000
Austria,2019,491000000000
Germany,1992,3110000000000
Finland,1993,152000000000
Czechia,1992,204000000000
Finland,2008,259000000000
Czechia,1996,236000000000
Czechia,2000,248000000000
Czechia,2002,264000000000
Finland,2017,262000000000
Czechia,2010,325000000000
Finland,2019,270000000000
Australia,1996,606000000000
Belgium,2008,525000000000
Australia,2004,809000000000
Australia,2007,886000000000
Belgium,2017,578000000000
Australia,2012,1020000000000
Australia,2015,1100000000000
France,2001,2490000000000
France,2006,2700000000000
Denmark,1999,239000000000
France,2009,2730000000000
Canada,1998,1050000000000
Denmark,2000,246000000000
Denmark,2003,255000000000
Austria,1996,338000000000
Canada,2001,1220000000000
Austria,2002,390000000000
Canada,2014,1680000000000
Denmark,2016,318000000000
Denmark,2017,326000000000
Denmark,2018,333000000000
Austria,2012,446000000000
Canada,2017,1740000000000
Canada,2019,1820000000000
Canada,2020,1710000000000
Canada,2021,1790000000000
Japan,1992,4600000000000
Luxembourg,1997,30300000000
Japan,1999,4760000000000
Hungary,1997,171000000000
Ireland,1999,139000000000
Ireland,2001,160000000000
Ireland,2002,166000000000
Germany,1995,3220000000000
Hungary,2005,236000000000
Hungary,2007,241000000000
Ireland,2008,203000000000
Japan,2012,5020000000000
Japan,2015,5320000000000
Germany,2008,3890000000000
Hungary,2009,234000000000
Hungary,2014,249000000000
Hungary,2019,307000000000
SouthKorea,1993,681000000000
Iceland,1994,8214377425
Italy,1997,2290000000000
SouthKorea,1998,875000000000
Greece,1996,267000000000
Greece,1997,277000000000
Italy,2002,2510000000000
SouthKorea,2004,1320000000000
SouthKorea,2005,1370000000000
SouthKorea,2009,1590000000000
Iceland,2010,11900000000
Iceland,2013,14900000000
SouthKorea,2016,2050000000000
Italy,2019,2580000000000
SouthKorea,2020,2210000000000
Italy,2021,2530000000000
Luxembourg,1991,25000000000
Norway,2009,307000000000
Norway,2011,332000000000
Portugal,2020,326000000000
Norway,2018,367000000000
Luxembourg,2012,45300000000
Luxembourg,2017,49100000000
Slovakia,1991,73700000000
Slovakia,1992,68900000000
Slovakia,1995,79800000000
Slovakia,1996,83100000000
Slovakia,1997,88500000000
Slovakia,2007,136000000000
Poland,1996,502000000000
Poland,1998,559000000000
Poland,2000,619000000000
Poland,2001,627000000000
Slovakia,2013,145000000000
Slovakia,2016,155000000000
NewZealand,1997,97700000000
NewZealand,1998,100000000000
NewZealand,2000,107000000000
NewZealand,2006,135000000000
NewZealand,2009,145000000000
NewZealand,2012,156000000000
NewZealand,2013,165000000000
Poland,2017,1110000000000
Mexico,2011,2060000000000
Mexico,2020,2200000000000
Spain,1990,1030000000000
Spain,1994,1080000000000
Spain,1995,1130000000000
Norway,1990,153000000000
Spain,2008,1770000000000
Spain,2010,1730000000000
Norway,1994,171000000000
Portugal,1998,279000000000
Spain,2012,1660000000000
Norway,2000,246000000000
Norway,2002,247000000000
Turkey,1991,721000000000
Turkey,1993,826000000000
Turkey,1994,779000000000
Turkey,1997,972000000000
Turkey,1998,1010000000000
UnitedStates,1996,11700000000000
Sweden,1993,279000000000
Turkey,2001,939000000000
UnitedStates,2002,14700000000000
Brazil,2004,2190000000000
Brazil,2006,2360000000000
Sweden,2007,460000000000
Turkey,2012,1690000000000
Brazil,2017,2950000000000
Brazil,2018,2970000000000
UnitedKingdom,1991,1760000000000
Argentina,1990,443000000000
Bulgaria,1990,103000000000
Bulgaria,1992,93400000000
Bulgaria,1993,92000000000
Bulgaria,1994,93500000000
UnitedKingdom,1997,1990000000000
Bulgaria,2000,85800000000
Switzerland,1997,414000000000
Switzerland,1999,441000000000
Argentina,2005,669000000000
Bulgaria,2007,123000000000
Argentina,2012,983000000000
Switzerland,2017,576000000000
Argentina,2017,1010000000000
Estonia,1992,16400000000
Estonia,1993,14800000000
Indonesia,2001,1200000000000
Indonesia,2002,1270000000000
Indonesia,2003,1310000000000
Estonia,2004,27100000000
Indonesia,2012,2190000000000
Estonia,2014,38800000000
Chile,1991,135000000000
Colombia,1993,309000000000
Croatia,2002,87900000000
Chile,1996,199000000000
Chile,2007,297000000000
Colombia,2011,549000000000
Croatia,2014,99900000000
Croatia,2015,104000000000
Chile,2011,358000000000
Chile,2014,414000000000
India,1995,2010000000000
India,2004,3450000000000
India,2007,4340000000000
CostaRica,1991,29900000000
Cyprus,1997,18300000000
Cyprus,2001,22100000000
India,2012,5770000000000
China,1993,2370000000000
CostaRica,2000,46700000000
Cyprus,2004,25100000000
Cyprus,2006,27600000000
Cyprus,2009,31100000000
China,1995,2880000000000
Cyprus,2011,32700000000
Cyprus,2016,29800000000
China,2007,9000000000000
CostaRica,2009,70000000000
CostaRica,2016,92400000000
Cyprus,2019,34900000000
CostaRica,2019,99600000000
Indonesia,1993,962000000000
Indonesia,1995,1130000000000
Indonesia,1996,1220000000000
Estonia,1990,22000000000
Singapore,2015,328000000000
Singapore,2019,349000000000
Singapore,2020,328000000000
Malta,2020,18400000000
Indonesia,2014,2420000000000
Lithuania,1990,56800000000
Lithuania,1992,42500000000
Romania,1991,269000000000
Romania,1994,258000000000
Israel,1990,97200000000
Romania,1997,270000000000
Israel,2001,180000000000
Lithuania,2005,68000000000
Lithuania,2008,82900000000
SaudiArabia,2009,1170000000000
Israel,2006,212000000000
Lithuania,2013,79700000000
Lithuania,2014,83900000000
Israel,2010,245000000000
Israel,2011,256000000000
Israel,2014,295000000000
Israel,2017,339000000000
Lithuania,2021,106000000000
Malta,1996,8675380273
RussianFederation,1994,2050000000000
RussianFederation,1997,1890000000000
Singapore,2002,191000000000
Latvia,1996,23500000000
Malta,2000,10200000000
RussianFederation,2000,2080000000000
Singapore,2006,247000000000
Latvia,2002,32800000000
Slovenia,1995,43000000000
Slovenia,1999,51400000000
Slovenia,2011,67000000000
Slovenia,2019,80300000000
