COUNTRY_NAME,YEAR,SUM(F.CO2)
Oman,2004,"270,789367"
Oman,2005,"281,619639"
Oman,2006,"363,118433"
Oman,2007,"397,142511"
Oman,2008,"367,377678"
Oman,2009,"339,231746"
Oman,2010,"370,206948"
Oman,2011,"394,763631"
Oman,2012,"404,580522"
Oman,2013,"390,636862"
Oman,2014,"361,594136"
Oman,2015,"347,886697"
Oman,2016,"323,147763"
Oman,2017,"338,996744"
Oman,2018,"301,235352"
Oman,2019,"293,098473"
Oman,2020,"292,150316"
Oman,2021,"292,150316"
Peru,,"1003,37934"
Peru,2000,"27,3051825"
Peru,1990,"23,2707681"
Peru,1991,"22,1197602"
Peru,1992,"21,9298642"
Peru,1993,"24,4887215"
Peru,1994,"23,9069157"
Peru,1995,"24,3648916"
Peru,1996,"23,4866985"
Peru,1997,"25,974614"
Peru,1998,"25,824772"
Peru,1999,"26,8486285"
Peru,2001,"24,1627342"
Peru,2002,"23,9194408"
Peru,2003,"22,9810465"
Peru,2004,"27,5481803"
Peru,2005,"31,8099543"
Peru,2006,"24,2815259"
Peru,2007,"29,3670587"
Peru,2008,"34,2915878"
Peru,2009,"42,7755759"
Peru,2010,"47,2708079"
Peru,2011,"40,1232108"
Peru,2012,"43,9554451"
Peru,2013,"34,7115084"
Peru,2014,"39,4282036"
Peru,2015,"38,6470244"
Peru,2016,"40,9127172"
Peru,2017,"41,0036312"
Peru,2018,"41,0005858"
Peru,2019,"40,5857156"
Peru,2020,"32,541282"
Peru,2021,"32,541282"
Togo,,"220,13525"
Togo,2000,"6,4888285"
Togo,1990,"6,21659258"
Togo,1991,"6,52219834"
Togo,1992,"6,26776368"
Togo,1993,"6,3665581"
Togo,1994,"5,86339519"
Togo,1995,"6,67081373"
Togo,1996,"6,98233193"
Togo,1997,"4,70262828"
Togo,1998,"6,6832943"
Togo,1999,"9,28984061"
Togo,2001,"5,49397174"
Togo,2002,"6,10733321"
Togo,2003,"8,12525477"
Togo,2004,"7,65460702"
Togo,2005,"7,36298124"
Togo,2006,"6,24895886"
Togo,2007,"6,14881632"
Togo,2008,"6,0076733"
Togo,2009,"10,5232661"
Togo,2010,"9,70101432"
Togo,2011,"9,11069122"
Togo,2012,"7,8499999"
Togo,2013,"5,6684365"
Togo,2014,"5,18430934"
Togo,2015,"6,11441129"
Togo,2016,"7,37070055"
Togo,2017,"6,88998886"
Togo,2018,"6,96658032"
Togo,2019,"6,84512431"
Togo,2020,"6,35344286"
Togo,2021,"6,35344286"
Benin,,"280,593272"
Benin,2000,"5,14853659"
Benin,1990,"3,04014706"
Benin,1991,"3,41732662"
Benin,1992,"3,54787301"
Benin,1993,"4,16236625"
Benin,1994,"4,61333306"
Benin,1995,"4,54148448"
Benin,1996,"4,53200299"
Benin,1997,"4,56454121"
Benin,1998,"4,13176277"
Benin,1999,"5,26486855"
Benin,2001,"5,72840604"
Benin,2002,"6,94169498"
Benin,2003,"7,63986168"
Benin,2004,"8,03178941"
Benin,2005,"7,48573236"
Benin,2006,"9,78792847"
Benin,2007,"11,158641"
Benin,2008,"10,814862"
Benin,2009,"11,3349703"
Benin,2010,"12,2081137"
Benin,2011,"11,3639912"
Benin,2012,"10,8600366"
Benin,2013,"10,9533713"
Benin,2014,"11,1894377"
Benin,2015,"12,0853801"
Benin,2016,"14,5701143"
Benin,2017,"14,8994944"
Benin,2018,"15,1597504"
Benin,2019,"14,8767184"
Benin,2020,"13,2693678"
Benin,2021,"13,2693678"
Chile,,"2912,18575"
Chile,2000,"90,8786286"
Chile,1990,"59,466186"
Chile,1991,"55,0413782"
Chile,1992,"55,9394552"
Chile,1993,"58,4354881"
Chile,1994,"63,5591691"
Chile,1995,"68,5447455"
Chile,1996,"78,332585"
Chile,1997,"89,9754501"
Chile,1998,"90,994278"
Chile,1999,"96,3782942"
Chile,2001,"81,2960823"
Chile,2002,"83,3503896"
Chile,2003,"83,0769534"
Chile,2004,"88,4563825"
Chile,2005,"90,3578576"
Chile,2006,"93,8446803"
Chile,2007,"102,624125"
Chile,2008,"101,691319"
Chile,2009,"93,6630687"
Chile,2010,"100,305371"
Chile,2011,"108,714848"
Chile,2012,"109,906222"
Chile,2013,"111,741218"
Chile,2014,"104,835604"
Chile,2015,"109,285404"
Chile,2016,"111,230734"
Chile,2017,"109,20715"
Chile,2018,"108,164125"
Chile,2019,"109,070233"
Chile,2020,"101,909161"
Chile,2021,"101,909161"
China,,"3631,3268"
China,2000,"63,9569206"
China,1990,"50,6732454"
China,1991,"52,4322669"
China,1992,"54,3120011"
China,1993,"57,5308851"
China,1994,"60,4868588"
China,1995,"64,9435732"
China,1996,"67,1741595"
China,1997,"66,7546192"
China,1998,"63,4056987"
China,1999,"62,744621"
China,2001,"64,9345541"
China,2002,"71,0920004"
China,2003,"82,9316822"
China,2004,"94,7559279"
China,2005,"105,981237"
China,2006,"116,355563"
China,2007,"124,433468"
China,2008,"132,925553"
China,2009,"139,05454"
China,2010,"151,079823"
China,2011,"166,135655"
China,2012,"169,494176"
China,2013,"171,613415"
China,2014,"171,248221"
China,2015,"168,008267"
China,2016,"164,980563"
China,2017,"167,549169"
China,2018,"172,983666"
China,2019,"175,59115"
China,2020,"177,881658"
China,2021,"177,881658"
Congo,,"352,027516"
Congo,2000,"4,33593154"
Congo,1990,"10,2640218"
Congo,1991,"10,7282939"
Congo,1992,"12,4262636"
Congo,1993,"10,8792897"
Congo,1994,"16,124938"
Congo,1995,"10,5119893"
Congo,1996,"11,5390497"
Congo,1997,"16,0768394"
Congo,1998,"2,88985776"
Congo,1999,"2,86521374"
Congo,2001,"5,71134326"
Congo,2002,"4,17050938"
Congo,2003,"6,45274531"
Congo,2004,"6,4878871"
Congo,2005,"6,59885309"
Congo,2006,"7,22536214"
Congo,2007,"7,49946014"
Congo,2008,"7,95715104"
Congo,2009,"9,98178458"
Congo,2010,"11,0168843"
Congo,2011,"12,2314239"
Congo,2012,"15,6684882"
Congo,2013,"16,6549781"
Congo,2014,"15,7178757"
Congo,2015,"17,0586449"
Congo,2016,"17,8393237"
Congo,2017,"16,7423022"
Congo,2018,"16,5778125"
Congo,2019,"14,6809929"
Congo,2020,"13,5560023"
Congo,2021,"13,5560023"
Egypt,,"1560,82014"
Egypt,2000,"48,9367487"
Egypt,1990,"32,1588471"
Egypt,1991,"32,3049851"
Egypt,1992,"32,7026042"
Egypt,1993,"36,9847639"
Egypt,1994,"33,2156886"
Egypt,1995,"36,5349305"
Egypt,1996,"35,3080391"
Egypt,1997,"39,7629363"
Egypt,1998,"44,0357606"
Egypt,1999,"44,2550936"
Egypt,2001,"42,5222473"
Egypt,2002,"42,2294997"
Egypt,2003,"48,267104"
Egypt,2004,"48,2585838"
Egypt,2005,"52,4478498"
Egypt,2006,"54,9532601"
Egypt,2007,"57,0325188"
Egypt,2008,"58,6962098"
Egypt,2009,"60,0984155"
Egypt,2010,"58,2421951"
Egypt,2011,"60,4836584"
Egypt,2012,"57,9623836"
Egypt,2013,"56,1823504"
Egypt,2014,"58,833865"
Egypt,2015,"56,9003967"
Egypt,2016,"59,4930284"
Egypt,2017,"62,3636833"
Egypt,2018,"55,5285126"
Egypt,2019,"54,0020167"
Egypt,2020,"50,0609824"
Egypt,2021,"50,0609824"
Gabon,,"2570,67869"
Gabon,2000,"91,2162558"
Gabon,1990,"113,358779"
Gabon,1991,"111,214071"
Gabon,1992,"117,702046"
Gabon,1993,"115,940329"
Gabon,1994,"99,311519"
Gabon,1995,"101,888942"
Gabon,1996,"102,520587"
Gabon,1997,"100,404262"
Gabon,1998,"101,660341"
Gabon,1999,"95,8437165"
Gabon,2001,"91,0376207"
Gabon,2002,"84,6463792"
Gabon,2003,"83,8975327"
Gabon,2004,"82,5749837"
Gabon,2005,"83,861554"
Gabon,2006,"69,5338677"
Gabon,2007,"66,6522248"
Gabon,2008,"65,7916156"
Gabon,2009,"64,749434"
Gabon,2010,"70,6815915"
Gabon,2011,"70,2376479"
Gabon,2012,"69,04889"
Gabon,2013,"69,5946389"
Gabon,2014,"67,733305"
Gabon,2015,"64,9312056"
Gabon,2016,"65,0371811"
Gabon,2017,"53,4461307"
Gabon,2018,"53,8927699"
Gabon,2019,"49,57463"
Gabon,2020,"46,3473173"
Gabon,2021,"46,3473173"
Ghana,,"306,222888"
Ghana,2000,"7,59530544"
Ghana,1990,"6,15852528"
Ghana,1991,"6,64304347"
Ghana,1992,"5,61418985"
Ghana,1993,"6,42140119"
Ghana,1994,"7,37447194"
Ghana,1995,"7,26965942"
Ghana,1996,"7,51590151"
Ghana,1997,"8,31511111"
Ghana,1998,"8,16466342"
Ghana,1999,"8,12721041"
Ghana,2001,"8,17997616"
Ghana,2002,"8,57362114"
Ghana,2003,"8,60344229"
Ghana,2004,"8,07054312"
Ghana,2005,"7,48440427"
Ghana,2006,"9,82293487"
Ghana,2007,"10,0527671"
Ghana,2008,"9,09061241"
Ghana,2009,"7,44457601"
Ghana,2010,"9,40411553"
Ghana,2011,"10,6123782"
Ghana,2012,"13,2159276"
Ghana,2013,"12,7902187"
Ghana,2014,"13,0070617"
Ghana,2015,"13,8872187"
Ghana,2016,"13,9432332"
Ghana,2017,"11,3231941"
Ghana,2018,"13,4504998"
Ghana,2019,"13,3486331"
Ghana,2020,"12,3590236"
Ghana,2021,"12,3590236"
Haiti,,"148,745034"
Haiti,2000,"4,63366008"
Haiti,1990,"3,39304939"
Haiti,1991,"3,26349667"
Haiti,1992,"2,9133821"
Haiti,1993,"2,20097635"
Haiti,1994,"0,57834977"
Haiti,1995,"2,71377002"
Haiti,1996,"3,09946212"
Haiti,1997,"4,02972283"
Haiti,1998,"3,62524282"
Haiti,1999,"3,66791573"
Haiti,2001,"4,10174729"
Haiti,2002,"4,89422731"
Haiti,2003,"4,58475542"
Haiti,2004,"4,38240991"
Haiti,2005,"4,50047894"
Haiti,2006,"4,49962198"
Haiti,2007,"4,47984526"
Haiti,2008,"4,38024667"
Haiti,2009,"4,6253304"
Haiti,2010,"5,15444167"
Haiti,2011,"5,40077938"
Haiti,2012,"5,30106048"
Haiti,2013,"6,24467162"
Haiti,2014,"6,15322255"
Haiti,2015,"5,97041273"
Haiti,2016,"6,60466774"
Haiti,2017,"6,78323779"
Haiti,2018,"7,26655637"
Haiti,2019,"7,00838678"
Haiti,2020,"6,14495311"
Haiti,2021,"6,14495311"
India,,"929,160637"
India,2000,"22,2360444"
India,1990,"15,8992211"
India,1991,"16,5854841"
India,1992,"17,3151577"
India,1993,"17,543588"
India,1994,"18,1958429"
India,1995,"18,9754806"
India,1996,"20,1778857"
India,1997,"20,6139156"
India,1998,"20,6621811"
India,1999,"22,0045174"
India,2001,"22,1594796"
India,2002,"22,4570262"
India,2003,"22,8792256"
India,2004,"23,9117832"
India,2005,"24,8018782"
India,2006,"25,9409857"
India,2007,"27,5485056"
India,2008,"29,2399721"
India,2009,"31,7867826"
India,2010,"32,6257123"
India,2011,"34,1706246"
India,2012,"37,2308417"
India,2013,"38,1674599"
India,2014,"40,4912862"
India,2015,"41,5567074"
India,2016,"43,1654302"
India,2017,"43,6345351"
India,2018,"46,1284833"
India,2019,"46,1229622"
India,2020,"42,4658181"
India,2021,"42,4658181"
Italy,,"5597,17612"
Italy,2000,"199,178038"
Italy,1990,"184,917115"
Italy,1991,"184,596327"
Italy,1992,"184,504477"
Italy,1993,"181,100439"
Italy,1994,"178,613665"
Italy,1995,"188,822663"
Italy,1996,"186,746012"
Italy,1997,"189,690825"
Italy,1998,"195,385307"
Italy,1999,"197,583096"
Italy,2001,"198,572174"
Italy,2002,"200,622893"
Italy,2003,"206,779126"
Italy,2004,"207,730019"
Italy,2005,"206,828712"
Italy,2006,"203,704682"
Italy,2007,"200,423678"
Italy,2008,"195,065441"
Italy,2009,"172,466387"
Italy,2010,"176,445822"
Italy,2011,"170,881321"
Italy,2012,"161,703713"
Italy,2013,"147,523531"
Italy,2014,"138,884555"
Italy,2015,"143,140897"
Italy,2016,"141,658808"
Italy,2017,"139,572788"
Italy,2018,"138,163679"
Italy,2019,"134,674198"
Italy,2020,"120,597866"
Italy,2021,"120,597866"
Japan,,"7349,08634"
Japan,2000,"237,954808"
Japan,1990,"223,220947"
Japan,1991,"224,707091"
Japan,1992,"225,845476"
Japan,1993,"223,822508"
Japan,1994,"233,667758"
Japan,1995,"235,435138"
Japan,1996,"237,174436"
Japan,1997,"235,433085"
Japan,1998,"227,504938"
Japan,1999,"234,034365"
Japan,2001,"234,856254"
Japan,2002,"240,035527"
Japan,2003,"241,290158"
Japan,2004,"240,15344"
Japan,2005,"241,329726"
Japan,2006,"236,848139"
Japan,2007,"243,398189"
Japan,2008,"230,090558"
Japan,2009,"217,160504"
Japan,2010,"226,816984"
Japan,2011,"236,241486"
Japan,2012,"244,069176"
Japan,2013,"246,022857"
Japan,2014,"236,637382"
Japan,2015,"229,413471"
Japan,2016,"226,115305"
Japan,2017,"223,641865"
Japan,2018,"215,743056"
Japan,2019,"209,224659"
Japan,2020,"195,598528"
Japan,2021,"195,598528"
Kenya,,"212,977638"
Kenya,2000,"7,80151591"
Kenya,1990,"5,75322326"
Kenya,1991,"4,6088153"
Kenya,1992,"5,11952938"
Kenya,1993,"5,70674806"
Kenya,1994,"5,71883734"
Kenya,1995,"6,40079606"
Kenya,1996,"7,68526824"
Kenya,1997,"6,62463485"
Kenya,1998,"7,85132458"
Kenya,1999,"7,73965339"
Kenya,2001,"6,74864203"
Kenya,2002,"5,56003351"
Kenya,2003,"4,55870722"
Kenya,2004,"5,0100924"
Kenya,2005,"5,46408665"
Kenya,2006,"5,95119667"
Kenya,2007,"5,91580639"
Kenya,2008,"5,97768682"
Kenya,2009,"7,02159946"
Kenya,2010,"6,70641605"
Kenya,2011,"7,18594726"
Kenya,2012,"6,48826128"
Kenya,2013,"6,73292021"
Kenya,2014,"7,07819294"
Kenya,2015,"8,17131156"
Kenya,2016,"8,39411057"
Kenya,2017,"7,80020494"
Kenya,2018,"8,41359058"
Kenya,2019,"8,37535334"
Kenya,2020,"7,20656611"
Kenya,2021,"7,20656611"
Libya,,"6624,82847"
Libya,2000,"212,837029"
Libya,1990,"197,520433"
Libya,1991,"225,09259"
Libya,1992,"191,057315"
Libya,1993,"195,367658"
Libya,1994,"216,289812"
Libya,1995,"221,580594"
Libya,1996,"212,134497"
Libya,1997,"213,393378"
Libya,1998,"211,550691"
Libya,1999,"204,95132"
Libya,2001,"213,678451"
Libya,2002,"209,085191"
Libya,2003,"211,254599"
Libya,2004,"212,795242"
Libya,2005,"235,871262"
Libya,2006,"217,116866"
Libya,2007,"200,753198"
Libya,2008,"212,284254"
Libya,2009,"207,844298"
Libya,2010,"234,873564"
Libya,2011,"189,053082"
Libya,2012,"197,195433"
Libya,2013,"159,158402"
Libya,2014,"269,311857"
Libya,2015,"217,565514"
Libya,2016,"197,721868"
Libya,2017,"198,392882"
Libya,2018,"191,75933"
Libya,2019,"193,024753"
Libya,2020,"177,156552"
Libya,2021,"177,156552"
Malta,,"4566,50167"
Malta,2000,"155,195671"
Malta,1990,"159,672942"
Malta,1991,"148,299461"
Malta,1992,"151,01647"
Malta,1993,"187,138831"
Malta,1994,"171,432241"
Malta,1995,"156,667091"
Malta,1996,"162,737967"
Malta,1997,"161,738587"
Malta,1998,"157,717473"
Malta,1999,"161,438917"
Malta,2001,"161,393593"
Malta,2002,"162,972326"
Malta,2003,"178,37494"
Malta,2004,"169,589665"
Malta,2005,"157,426734"
Malta,2006,"157,462936"
Malta,2007,"161,140806"
Malta,2008,"161,005736"
Malta,2009,"147,690693"
Malta,2010,"149,444904"
Malta,2011,"148,051538"
Malta,2012,"157,06635"
Malta,2013,"137,658248"
Malta,2014,"136,592305"
Malta,2015,"96,3744265"
Malta,2016,"77,3442606"
Malta,2017,"85,4596479"
Malta,2018,"84,0509234"
Malta,2019,"90,9649115"
Malta,2020,"86,6905375"
Malta,2021,"86,6905375"
Nauru,,"5428,03143"
Nauru,2000,"195,659089"
Nauru,1990,"314,562862"
Nauru,1991,"306,218763"
Nauru,1992,"289,316052"
Nauru,1993,"264,986877"
Nauru,1994,"251,29358"
Nauru,1995,"239,954836"
Nauru,1996,"230,712144"
Nauru,1997,"231,253874"
Nauru,1998,"224,729957"
Nauru,1999,"210,393339"
Nauru,2001,"189,387372"
Nauru,2002,"182,801029"
Nauru,2003,"158,379828"
Nauru,2004,"159,851343"
Nauru,2005,"151,783125"
Nauru,2006,"107,369963"
Nauru,2007,"107,217232"
Nauru,2008,"106,686078"
Nauru,2009,"97,323272"
Nauru,2010,"105,470465"
Nauru,2011,"96,0571996"
Nauru,2012,"104,066272"
Nauru,2013,"111,976491"
Nauru,2014,"119,652444"
Nauru,2015,"127,038428"
Nauru,2016,"117,527828"
Nauru,2017,"124,755509"
Nauru,2018,"123,621368"
Nauru,2019,"126,406099"
Nauru,2020,"125,789357"
Nauru,2021,"125,789357"
Nepal,,"153,352772"
Nepal,2000,"3,04487136"
Nepal,1990,"0,91584883"
Nepal,1991,"1,26928937"
Nepal,1992,"1,48405682"
Nepal,1993,"1,63666378"
Nepal,1994,"1,84714498"
Nepal,1995,"2,56828966"
Nepal,1996,"2,55619286"
Nepal,1997,"2,80659869"
Nepal,1998,"2,31414132"
Nepal,1999,"3,25761451"
Nepal,2001,"3,18996434"
Nepal,2002,"2,52020302"
Nepal,2003,"2,68928448"
Nepal,2004,"2,4382061"
Nepal,2005,"2,78440831"
Nepal,2006,"2,26173684"
Nepal,2007,"2,33817912"
Nepal,2008,"3,01663025"
Nepal,2009,"3,68647946"
Nepal,2010,"4,28616931"
Nepal,2011,"4,63328208"
Nepal,2012,"4,86444132"
Nepal,2013,"5,54401855"
Nepal,2014,"6,77140224"
Nepal,2015,"6,05591753"
Nepal,2016,"8,59172798"
Nepal,2017,"10,1162822"
Nepal,2018,"11,6943104"
Nepal,2019,"14,2332877"
Nepal,2020,"13,968064"
Nepal,2021,"13,968064"
Niger,,"54,3329011"
Niger,2000,"1,46970799"
Niger,1990,"1,79935915"
Niger,1991,"1,64692922"
Niger,1992,"1,4805767"
Niger,1993,"1,63021356"
Niger,1994,"1,51761852"
Niger,1995,"1,42104012"
Niger,1996,"1,56798924"
Niger,1997,"1,5233969"
Niger,1998,"1,58716961"
Niger,1999,"1,49881454"
Niger,2001,"1,33322383"
Niger,2002,"1,36975416"
Niger,2003,"1,43165266"
Niger,2004,"1,47966816"
Niger,2005,"1,24827782"
Niger,2006,"1,16660873"
Niger,2007,"1,17012552"
Niger,2008,"1,26204158"
Niger,2009,"1,45651495"
Niger,2010,"1,70582832"
Niger,2011,"1,85425848"
Niger,2012,"2,36611987"
Niger,2013,"2,45249194"
Niger,2014,"2,58783456"
Niger,2015,"2,44179696"
Niger,2016,"2,38316808"
Niger,2017,"2,22830983"
Niger,2018,"1,99236977"
Niger,2019,"1,90810106"
Niger,2020,"1,67596963"
Niger,2021,"1,67596963"
Palau,,"8391,04391"
Palau,2000,"262,360638"
Palau,1992,"299,485368"
Palau,1993,"291,506446"
Palau,1994,"284,060537"
Palau,1995,"276,662783"
Palau,1996,"269,916444"
Palau,1997,"263,608305"
Palau,1998,"257,938077"
Palau,1999,"252,910098"
Palau,2001,"267,632312"
Palau,2002,"259,726027"
Palau,2003,"257,470847"
Palau,2004,"261,152665"
Palau,2005,"266,728679"
Palau,2006,"279,021494"
Palau,2007,"316,71782"
Palau,2008,"263,276304"
Palau,2009,"259,701395"
Palau,2010,"279,164578"
Palau,2011,"292,382079"
Palau,2012,"304,081633"
Palau,2013,"309,671703"
Palau,2014,"299,339612"
Palau,2015,"278,761392"
